1170NO1 RIVERSIDE QUAY BP              NYYN0100NYNNNYN??????????????????????????????????????????????????????????????????????????????
1171MAGNETIC WITCH PL BP               NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1172ANARK RETAILING BP                 NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1173MARJO HOLDINGS BP                  NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1174911 CONV PL BP                     NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1175WYVERN HOLDINGS PL BP              NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1176GOODLEN PL BP                      NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1177HANLAR INVEST PL BP                NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1178P A JOB PTY LTD BP                 NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1179COLES FAST AND FRESH               NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1180FW AHS AND SONS PL BP              NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1181MODILLION HDLNGS BP                NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1182FRIWAY ONE PL BP                   NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1183HIRE                               NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1184MOW HOLDINGS BP                    NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1185EMJAY MOTORS PL                    NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1186SOUTHERN CABS PTY LTD              NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1187MECHANICAL                         NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1188PARTS AND SERVICE                  NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1189MELB COMB TAXIS SHOP2              NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1190CITY CABS                          NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1191LIMOS OF VIC                       NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1192MY CAR AUTO SUPERSTOR              NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1193MERCHANT SUSPENSE                  NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1194RETAIL PETROLEUM BP                NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1195RAMPAGE NATIONAL PTY LTD           NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1196BATTERY WORLD                      NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1197CABCORP                            NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1198THE DUNN GROUP BP                  NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
